supported
CHARSET
AXIS-VERSION
CODEPAGE
LANGUAGE
LANGUAGES
CREATION-DATE
UPDATE-FREQUENCY
DECIMALS
SHOWDECIMALS
MATRIX
SUBJECT-CODE
SUBJECT-AREA
COPYRIGHT
DESCRIPTION
TITLE
DESCRIPTIONDEFAULT
CONTENTS
UNITS
STUB
HEADING
VALUES
MAP
ELIMINATION
LAST-UPDATED
CONTACT
REFPERIOD
DATABASE
SOURCE
SURVEY
LINK
NOTE
VALUENOTE
PRECISION
DATA
